label,text
晴,1992/1/1
晴,1992/1/2
快晴,1992/1/3
晴,1992/1/4
晴,1992/1/5
曇後雨,1992/1/6
曇時々雨,1992/1/7
晴,1992/1/8
雨,1992/1/9
快晴,1992/1/10
快晴,1992/1/11
曇一時雨後晴,1992/1/12
快晴,1992/1/13
晴一時曇,1992/1/14
快晴,1992/1/15
晴後雨,1992/1/16
晴,1992/1/17
晴,1992/1/18
快晴,1992/1/19
晴,1992/1/20
晴時々曇,1992/1/21
曇後晴,1992/1/22
晴一時雨,1992/1/23
晴,1992/1/24
晴,1992/1/25
曇一時晴,1992/1/26
晴,1992/1/27
晴,1992/1/28
晴,1992/1/29
曇時々雨,1992/1/30
雨後みぞれ,1992/1/31
雪後曇一時晴,1992/2/1
快晴,1992/2/2
曇一時晴,1992/2/3
曇時々雨,1992/2/4
曇一時晴,1992/2/5
晴後曇,1992/2/6
晴,1992/2/7
曇一時晴,1992/2/8
晴,1992/2/9
晴,1992/2/10
晴,1992/2/11
曇時々晴一時雨,1992/2/12
晴一時曇,1992/2/13
晴一時雨,1992/2/14
晴後曇,1992/2/15
晴一時曇,1992/2/16
晴,1992/2/17
曇一時雨後晴,1992/2/18
晴,1992/2/19
曇,1992/2/20
曇時々晴一時雪,1992/2/21
晴,1992/2/22
晴,1992/2/23
曇,1992/2/24
晴,1992/2/25
晴,1992/2/26
快晴,1992/2/27
快晴,1992/2/28
曇,1992/2/29
曇,1992/3/1
曇,1992/3/2
雨後曇,1992/3/3
快晴,1992/3/4
雨,1992/3/5
曇一時晴,1992/3/6
晴一時曇,1992/3/7
晴,1992/3/8
晴後曇一時雨,1992/3/9
雨後晴一時曇,1992/3/10
曇時々晴一時雨,1992/3/11
曇一時雨,1992/3/12
晴,1992/3/13
晴,1992/3/14
曇一時雨,1992/3/15
曇後雨,1992/3/16
みぞれ時々曇,1992/3/17
雨一時雪,1992/3/18
曇一時晴,1992/3/19
曇時々晴,1992/3/20
雨後みぞれ、雷を伴う,1992/3/21
晴,1992/3/22
曇後雨、みぞれを伴う,1992/3/23
曇一時晴,1992/3/24
曇,1992/3/25
雨一時曇,1992/3/26
曇,1992/3/27
曇一時晴,1992/3/28
雨,1992/3/29
曇時々雨、雷を伴う,1992/3/30
快晴,1992/3/31
雨一時曇,1992/4/1
晴後曇,1992/4/2
晴一時曇,1992/4/3
晴後曇,1992/4/4
雨,1992/4/5
晴,1992/4/6
曇,1992/4/7
曇,1992/4/8
曇時々晴,1992/4/9
雨,1992/4/10
曇一時雨,1992/4/11
曇時々雨一時晴,1992/4/12
晴,1992/4/13
晴後曇一時雨、雷を伴う,1992/4/14
曇時々晴,1992/4/15
曇一時雨,1992/4/16
晴,1992/4/17
晴後曇,1992/4/18
雨時々曇,1992/4/19
快晴,1992/4/20
晴,1992/4/21
曇後雨,1992/4/22
晴,1992/4/23
晴時々曇,1992/4/24
晴,1992/4/25
晴,1992/4/26
晴,1992/4/27
快晴,1992/4/28
晴,1992/4/29
大雨,1992/4/30
晴,1992/5/1
晴,1992/5/2
晴一時曇,1992/5/3
快晴,1992/5/4
晴時々曇,1992/5/5
晴,1992/5/6
曇後一時雨,1992/5/7
晴後曇,1992/5/8
雨一時曇,1992/5/9
雨時々曇,1992/5/10
晴,1992/5/11
晴一時曇,1992/5/12
雨時々曇,1992/5/13
曇一時雨,1992/5/14
曇,1992/5/15
雨時々曇,1992/5/16
晴後曇一時雨,1992/5/17
雨,1992/5/18
晴後曇,1992/5/19
曇時々雨、雷を伴う,1992/5/20
晴,1992/5/21
曇後晴,1992/5/22
晴後曇,1992/5/23
曇時々雨一時晴、雷を伴う,1992/5/24
晴時々曇一時雨,1992/5/25
曇時々晴一時雨、雷を伴う,1992/5/26
曇時々晴,1992/5/27
曇一時雨,1992/5/28
晴後一時曇,1992/5/29
大雨、雷を伴う,1992/5/30
曇一時雨,1992/5/31
晴,1992/6/1
晴時々曇,1992/6/2
晴一時曇,1992/6/3
晴,1992/6/4
曇,1992/6/5
晴後曇,1992/6/6
曇一時雨,1992/6/7
曇時々雨,1992/6/8
曇一時雨,1992/6/9
曇一時雨,1992/6/10
曇時々雨,1992/6/11
曇一時晴,1992/6/12
曇,1992/6/13
曇一時晴,1992/6/14
雨後曇,1992/6/15
晴,1992/6/16
曇一時雨,1992/6/17
雨後一時曇,1992/6/18
曇一時雨,1992/6/19
雨一時曇,1992/6/20
曇一時雨,1992/6/21
晴後一時曇,1992/6/22
雨時々曇,1992/6/23
雨後曇,1992/6/24
晴一時曇,1992/6/25
曇一時晴,1992/6/26
曇,1992/6/27
曇後晴,1992/6/28
曇一時晴,1992/6/29
雨,1992/6/30
晴一時曇,1992/7/1
雨時々曇,1992/7/2
曇時々雨,1992/7/3
曇一時晴,1992/7/4
曇時々雨,1992/7/5
曇,1992/7/6
曇,1992/7/7
曇一時雨後晴,1992/7/8
晴後曇一時雨、雷を伴う,1992/7/9
晴,1992/7/10
雨時々曇,1992/7/11
曇,1992/7/12
雨一時曇,1992/7/13
雨,1992/7/14
曇,1992/7/15
曇,1992/7/16
曇一時雨,1992/7/17
曇時々雨,1992/7/18
晴,1992/7/19
晴,1992/7/20
晴後曇,1992/7/21
曇,1992/7/22
晴,1992/7/23
晴時々曇,1992/7/24
曇時々晴一時雨,1992/7/25
薄曇一時晴,1992/7/26
晴時々曇,1992/7/27
晴,1992/7/28
晴,1992/7/29
晴,1992/7/30
晴,1992/7/31
曇時々晴一時雨,1992/8/1
曇一時雨,1992/8/2
曇後一時雨,1992/8/3
曇一時雨,1992/8/4
曇時々雨,1992/8/5
晴一時曇,1992/8/6
晴一時曇,1992/8/7
曇時々晴,1992/8/8
曇一時雨後晴,1992/8/9
晴時々曇,1992/8/10
曇,1992/8/11
曇一時雨,1992/8/12
曇一時雨,1992/8/13
晴,1992/8/14
晴,1992/8/15
晴一時曇,1992/8/16
晴一時曇,1992/8/17
晴一時曇,1992/8/18
晴,1992/8/19
晴一時曇,1992/8/20
曇一時雨,1992/8/21
晴,1992/8/22
晴,1992/8/23
晴一時曇,1992/8/24
晴,1992/8/25
晴,1992/8/26
曇後晴,1992/8/27
晴,1992/8/28
晴,1992/8/29
晴一時曇,1992/8/30
晴,1992/8/31
晴,1992/9/1
晴後薄曇,1992/9/2
晴,1992/9/3
晴,1992/9/4
晴時々曇,1992/9/5
晴,1992/9/6
晴一時曇,1992/9/7
曇時々晴,1992/9/8
快晴,1992/9/9
曇一時雨,1992/9/10
晴,1992/9/11
晴,1992/9/12
晴一時雨,1992/9/13
晴,1992/9/14
曇時々雨,1992/9/15
曇時々晴,1992/9/16
曇,1992/9/17
曇後一時雨,1992/9/18
雨後晴,1992/9/19
晴時々曇,1992/9/20
曇,1992/9/21
晴一時曇,1992/9/22
晴,1992/9/23
曇時々晴一時雨,1992/9/24
晴後曇一時雨,1992/9/25
曇時々雨,1992/9/26
晴,1992/9/27
晴後曇,1992/9/28
曇一時雨,1992/9/29
曇時々雨後晴,1992/9/30
曇一時雨,1992/10/1
雨後曇,1992/10/2
曇後晴,1992/10/3
晴,1992/10/4
雨一時曇,1992/10/5
晴一時雨,1992/10/6
晴,1992/10/7
曇後一時雨,1992/10/8
曇時々晴一時雨,1992/10/9
晴,1992/10/10
曇一時晴,1992/10/11
曇後雨,1992/10/12
雨時々曇,1992/10/13
曇後雨,1992/10/14
雨一時曇,1992/10/15
晴時々曇,1992/10/16
曇後晴,1992/10/17
曇,1992/10/18
雨,1992/10/19
雨,1992/10/20
曇時々晴,1992/10/21
快晴,1992/10/22
晴,1992/10/23
雨時々曇,1992/10/24
曇時々晴一時雨,1992/10/25
快晴,1992/10/26
快晴,1992/10/27
晴,1992/10/28
雨一時曇,1992/10/29
晴,1992/10/30
快晴,1992/10/31
晴一時曇,1992/11/1
快晴,1992/11/2
晴,1992/11/3
快晴,1992/11/4
曇時々晴一時雨,1992/11/5
曇時々雨,1992/11/6
曇一時雨,1992/11/7
晴時々曇,1992/11/8
曇時々雨,1992/11/9
曇一時雨後晴,1992/11/10
晴,1992/11/11
晴,1992/11/12
曇,1992/11/13
快晴,1992/11/14
曇一時晴,1992/11/15
晴一時曇,1992/11/16
曇一時雨,1992/11/17
晴,1992/11/18
曇一時雨,1992/11/19
大雨,1992/11/20
雨時々曇,1992/11/21
快晴,1992/11/22
晴,1992/11/23
晴後曇,1992/11/24
快晴,1992/11/25
晴,1992/11/26
晴,1992/11/27
曇後雨,1992/11/28
曇時々雨後晴,1992/11/29
晴一時曇,1992/11/30
曇後雨,1992/12/1
曇一時晴,1992/12/2
曇,1992/12/3
快晴,1992/12/4
晴,1992/12/5
曇,1992/12/6
曇一時雨,1992/12/7
雨時々晴、雷を伴う,1992/12/8
曇一時晴,1992/12/9
晴,1992/12/10
晴,1992/12/11
晴,1992/12/12
晴,1992/12/13
晴,1992/12/14
快晴,1992/12/15
曇後晴,1992/12/16
晴,1992/12/17
晴,1992/12/18
晴一時薄曇,1992/12/19
曇一時晴,1992/12/20
晴時々曇,1992/12/21
快晴,1992/12/22
曇時々晴,1992/12/23
晴一時曇,1992/12/24
快晴,1992/12/25
快晴,1992/12/26
晴時々曇,1992/12/27
曇時々晴,1992/12/28
曇時々晴,1992/12/29
曇後晴,1992/12/30
快晴,1992/12/31
快晴,1993/1/1
曇一時雨後晴,1993/1/2
快晴,1993/1/3
曇一時晴,1993/1/4
晴,1993/1/5
晴後曇,1993/1/6
曇時々雨,1993/1/7
晴,1993/1/8
曇後雨一時みぞれ,1993/1/9
曇一時雨,1993/1/10
曇後一時雨,1993/1/11
晴時々曇,1993/1/12
曇一時晴,1993/1/13
雨一時曇,1993/1/14
雨一時みぞれ後あられ,1993/1/15
雨一時曇,1993/1/16
晴一時曇,1993/1/17
曇一時雨,1993/1/18
晴,1993/1/19
晴,1993/1/20
快晴,1993/1/21
快晴,1993/1/22
曇一時雪,1993/1/23
雨一時雪,1993/1/24
雨,1993/1/25
雨一時曇,1993/1/26
晴後曇,1993/1/27
雨一時みぞれ後晴,1993/1/28
快晴,1993/1/29
晴,1993/1/30
快晴,1993/1/31
晴一時雨、みぞれを伴う,1993/2/1
晴,1993/2/2
晴,1993/2/3
快晴,1993/2/4
曇後晴,1993/2/5
快晴,1993/2/6
晴一時雨,1993/2/7
快晴,1993/2/8
曇一時晴,1993/2/9
快晴,1993/2/10
曇一時晴,1993/2/11
晴一時雨,1993/2/12
快晴,1993/2/13
快晴,1993/2/14
晴,1993/2/15
晴後曇,1993/2/16
雨一時曇後晴,1993/2/17
晴後曇,1993/2/18
晴一時雨,1993/2/19
快晴,1993/2/20
曇後一時雨,1993/2/21
曇,1993/2/22
曇一時雨後晴,1993/2/23
晴,1993/2/24
晴,1993/2/25
快晴,1993/2/26
晴一時曇,1993/2/27
曇一時雨後晴,1993/2/28
晴後曇一時雨,1993/3/1
晴,1993/3/2
晴,1993/3/3
晴時々曇,1993/3/4
快晴,1993/3/5
晴一時曇,1993/3/6
曇一時雨,1993/3/7
晴,1993/3/8
晴,1993/3/9
雨後曇,1993/3/10
曇,1993/3/11
みぞれ時々雨,1993/3/12
晴,1993/3/13
晴,1993/3/14
雨一時曇,1993/3/15
曇一時晴,1993/3/16
晴,1993/3/17
晴,1993/3/18
晴後曇一時雨,1993/3/19
雨後曇一時晴,1993/3/20
晴,1993/3/21
晴,1993/3/22
晴,1993/3/23
晴後曇一時雨,1993/3/24
晴時々曇,1993/3/25
